Title,Description,URL,Published At,Source,Title Sentiment,Description Sentiment
"Expanding Automotive Axle and Propeller Shaft Market Driven by Innovation and Electrification with a USD 46.8 Billion by 2035 | Future Market Insights, Inc.","The importance of axle and propeller shafts is predicted to increase, which serve as the backbone of powertrain systems and aid the transfer of engine power to the wheels. The market for automotive axles and propeller shafts is expected to increase strongly, …",https://www.globenewswire.com/news-release/2025/03/19/3045074/0/en/Expanding-Automotive-Axle-and-Propeller-Shaft-Market-Driven-by-Innovation-and-Electrification-with-a-USD-46-8-Billion-by-2035-Future-Market-Insights-Inc.html,2025-03-19T00:30:00Z,GlobeNewswire,Positive,Positive
Stocks to Buy | Dhwani Patel on market trends and sector opportunities,"Dhwani Patel, Founder of Finversify, shares insights on the market's current momentum, highlighting a strong bullish trend. She discusses key Nifty and Bank Nifty levels, sectoral performance, and stock recommendations. With auto, metals, and PSU banks leadin…",https://m.economictimes.com/markets/stocks/news/stocks-to-buy-dhwani-patel-on-market-trends-and-sector-opportunities/market-outlook/slideshow/119169546.cms,2025-03-18T15:18:24Z,Economictimes.com,Positive,Positive
Kia India to hike vehicle prices up to 3 pc from April,"Kia India has announced a price hike of up to 3 per cent on its vehicles starting April 1, 2025, due to rising input costs and commodity prices. The company aims to offset the impact of these rising costs while continuing to provide high-quality vehicles to i…",https://economictimes.indiatimes.com/industry/auto/auto-news/kia-india-to-hike-vehicle-prices-up-to-3-pc-from-april/articleshow/119166077.cms,2025-03-18T13:31:25Z,The Times of India,Negative,Negative
"ET Market Watch: Sensex soars 1,100+ points, Nifty above 22,800","Sensex surged 1,131 points to 75,301, and Nifty rose 325 points to 22,834, driven by financials, metals, and auto stocks.",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-soars-1100-points-nifty-above-22800/podcast/119165651.cms,2025-03-18T13:21:04Z,The Times of India,Positive,Positive
"Sensex jumps 1,131 points; reclaims 75k-mark on firm global markets","The 30-share BSE Sensex surged 1,131 points to settle at 75,301, while NSE Nifty climbed 325 points to close at 22,834.",https://www.thehindubusinessline.com/markets/sensex-jumps-1131-points-reclaims-75k-mark-on-firm-global-markets/article69344788.ece,2025-03-18T12:54:17Z,BusinessLine,Neutral,Positive
"Sensex jumps 1,131 points; reclaims 75k-mark on firm global markets","The 30-share BSE Sensex surged 1,131 points to settle at 75,301, while NSE Nifty climbed 325 points to close at 22,834.",https://www.thehindubusinessline.com/news/sensex-jumps-1131-points-reclaims-75k-mark-on-firm-global-markets/article69344788.ece,2025-03-18T12:54:17Z,BusinessLine,Neutral,Positive
"NSE/BSE, top gainers & losers today 18 Mar 2025: Zomato, ICICI Bank, M&M, Tata Motors, L&T lead gains","Equity markets surge with BSE Sensex up 1.53% and NSE Nifty 50 up 1.45%, driven by financial and auto stocks.",https://www.thehindubusinessline.com/markets/stock-markets/nse-bse-stock-market-to-gainers-top-losers-today-zomato-icici-bank-mm-tata-motors-lt-18-mar-2025/article69344362.ece,2025-03-18T12:18:37Z,BusinessLine,Negative,Positive
"Kia Sonet, Seltos, Syros, And Others To Get Price Hike Next Month","Kia India has models like Syros, Sonet, Seltos, Carens, Carnival, EV6, and EV9 in its lineup.",https://www.ndtv.com/auto/kia-sonet-seltos-syros-and-others-to-get-price-hike-next-month-7952008,2025-03-18T11:57:46Z,NDTV News,Negative,Negative
Markets rally on global cues; Bank stocks lead 1.5% surge,"Market breadth was decisively positive, with 2,815 stocks advancing against 1,221 declining on the BSE. The session saw 65 stocks hitting 52-week highs while 294 touched 52-week lows",https://www.thehindubusinessline.com/markets/markets-rally-on-global-cues-bank-stocks-lead-15-surge/article69344374.ece,2025-03-18T11:37:33Z,BusinessLine,Neutral,Positive
Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex closed  up  1131.31 points at 75301.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/119161332.cms,2025-03-18T11:36:47Z,The Times of India,Neutral,Neutral
Stock market update: Power stocks up as market rises,The 30-share BSE Sensex closed  up  1131.31 points at 75301.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/119161163.cms,2025-03-18T11:31:41Z,The Times of India,Neutral,Neutral
Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex closed  up  1131.31 points at 75301.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/119160838.cms,2025-03-18T11:21:25Z,The Times of India,Neutral,Neutral
Stock market update: FMCG stocks up as market rises,The 30-share BSE Sensex closed  up  1131.31 points at 75301.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/119160396.cms,2025-03-18T11:11:11Z,The Times of India,Neutral,Neutral
Stock market update: Mining stocks up as market rises,The 30-share BSE Sensex closed  up  1131.31 points at 75301.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/119158749.cms,2025-03-18T10:30:07Z,The Times of India,Neutral,Neutral
Tata Motors to increase passenger and EV prices from April,Indian automaker Tata Motors Limited will be increasing its passenger and electric vehicle prices from April. This is the second time the company will be implementing price hikes in 2025,https://www.thehindubusinessline.com/companies/tata-motors-to-increase-passenger-and-ev-prices-from-april/article69343822.ece,2025-03-18T09:17:40Z,BusinessLine,Positive,Negative
Tata Motors to raise passenger vehicle prices from April,"Tata Motors will hike passenger vehicle prices, including electric vehicles, from April 2025 due to rising input costs. The increase follows a January rise of up to 3%. The exact hike varies by model and variant. Tata also announced a 2% increase for commerci…",https://economictimes.indiatimes.com/industry/auto/auto-news/tata-motors-to-raise-passenger-vehicle-prices-from-april/articleshow/119154721.cms,2025-03-18T08:49:29Z,The Times of India,Neutral,Positive
Tata YU Fully Autonomous Vehicle Concept Patented In India - Deets,Tata Motors has patented a new fully autonomous vehicle concept called the YU. Here&#039;s all about it.,https://www.ndtv.com/auto/tata-yu-fully-autonomous-vehicle-concept-patented-in-india-deets-7950464,2025-03-18T08:43:54Z,NDTV News,Neutral,Neutral
2 top stock recommendations from Dhwani Patel,"Bank Nifty has breached the 48,800 level and is trading higher, with expectations of reaching 49,225. Autos, metals, and PSU banks are leading gains, with specific interest in Tata Motors, TVS Motors, Hindalco, and Sun Pharma due to strong buying actions.",https://economictimes.indiatimes.com/markets/expert-view/2-top-stock-recommendations-from-dhwani-patel/articleshow/119151729.cms,2025-03-18T07:47:37Z,The Times of India,Positive,Positive
Markets extend rally; Sensex soars over 700 points on strong global cues,"Broader markets outperformed the benchmarks with the Nifty Next 50 jumping 1.64 per cent to 60,381.20 and the Nifty Midcap Select rising 1.50 per cent to 11,056.65",https://www.thehindubusinessline.com/markets/stock-markets/markets-extend-rally-sensex-soars-over-700-points-on-strong-global-cues/article69343556.ece,2025-03-18T07:41:33Z,BusinessLine,Positive,Positive
"Top gainers & losers intraday March 18, 2025: Asian Paints, Tata Motors led gains, Ola Electric jumps 13%, Bajaj Finserv falls 2%","Nifty 50 gainers include Asian Paints, Tata Motors, Hindalco, Shriram Finance, and ICICI Bank, while Bajaj Finserv lags behind.",https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-losers-intraday-march-18-2025-asian-paints-tata-motors-led-gains-ola-electric-jumps-13-bajaj-finserv-falls-2/article69343512.ece,2025-03-18T07:20:05Z,BusinessLine,Negative,Positive
Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex was  up  831.32 points at 75001.27,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/119146310.cms,2025-03-18T05:50:50Z,The Times of India,Neutral,Neutral
Stock market update: FMCG stocks up as market rises,The 30-share BSE Sensex was  up  809.4 points at 74979.35,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/119145472.cms,2025-03-18T05:30:24Z,The Times of India,Neutral,Neutral
Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex was  up  885.54 points at 75055.49,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/119144927.cms,2025-03-18T05:15:09Z,The Times of India,Neutral,Neutral
Ola Electric shares rebound after hitting 52-week low amid insolvency concerns,The insolvency application stems from allegations that the Ola subsidiary defaulted on payments for vehicle registration services,https://www.thehindubusinessline.com/markets/stock-markets/ola-electric-shares-rebound-after-hitting-52-week-low-amid-insolvency-concerns/article69343114.ece,2025-03-18T05:01:42Z,BusinessLine,Neutral,Neutral
"Trending Stocks Today Live: Ola Electric & Ircon shares soar, Bajaj Finserv down 1%","Ola Electric, Bajaj Finserv, Ircon International, Tata Motors share price live news & updates: Shares of Bajaj Finserv in focus after it announced the acquisition of Allianz SE’s 26% stake in their two joint ventures — Bajaj Allianz General Insurance Company …",https://www.thehindubusinessline.com/markets/stock-markets/trending-stocks-today-bajaj-finserv-ircon-ola-electric-tata-motors-share-price-live-news-updates/article69343078.ece,2025-03-18T04:50:26Z,BusinessLine,Positive,Positive
"Indian indices open strong, US markets rally amid cooling tariff fears","Markets open strong on Tuesday, Sensex up 556.87 points, Nifty up 173.15 points, driven by global cues and easing inflation.",https://www.thehindubusinessline.com/markets/stock-markets/indian-indices-open-strong-us-markets-rally-amid-cooling-tariff-fears/article69343069.ece,2025-03-18T04:41:51Z,BusinessLine,Positive,Positive
Stock market update: Power stocks up as market rises,The 30-share BSE Sensex was  up  769.78 points at 74939.73,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/119143544.cms,2025-03-18T04:39:23Z,The Times of India,Neutral,Neutral
Stock market update: Mining stocks up as market rises,The 30-share BSE Sensex was  up  756.25 points at 74926.2,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/119143260.cms,2025-03-18T04:34:15Z,The Times of India,Neutral,Neutral
